rank,char,pinyin,pinyin_no_accents,meaning,alternative,alternative2,trad1,trad2
196,五,wǔ,wu,"five; 五月 wǔyuè May",伍,,,
197,太,tài,tai,"great, very, too; 太太 tàitai Madame; 太阳 tàiyáng sun, sunshine",,,,
198,水,shuǐ,shui,"water, liquid, <family name>; 水平 shuǐpíng level; 水果 shuǐguǒ fruit; 药水 yàoshuǐ liquid medecine",,,,
199,万,wàn,wan,"ten thousand, myriad, <family name>; 万岁 wànsuì long live",,,萬,
199,万,Mò,Mo,"万俟 Mòqí <family name>",,,,
200,市,shì,shi,"(=市场 shìchǎng) market, (=城市 chéngshì) city, town",,,,
201,眼,yǎn,yan,"(=眼睛 yǎnjing) eye; 眼镜 yǎnjìng glasses",,,,
202,体,tǐ,ti,"substance, (=身体 shēntǐ) body; 具体 jùtǐ concrete, specific; 体字 tǐzì style of written Chinese, typface, font",,,體,
202,体,tī,ti,"体己 tīji (or tǐjǐ) intimate, confidential",,,,
203,别,bié,bie,"separate, other, don't, leave, differentiate, <family name>",,,別,彆
203,别,biè,bie,"别扭 bièniu awkward",,,,
204,处,chù,chu,"place, part, point, department, office",,,處,
204,处,chǔ,chu,"deal with, get along with somebody",,,,
205,总,zǒng,zong,"general, overall, always, (=总数 zǒngshù) sum, total; 总统 zǒngtǒng president (of a republic)",,,總,
206,才,cái,cai,"talent, only then; 刚才 gāngcái just now",,,纔,
207,场,chǎng,chang,"field, place where people gather, stage, level open ground, country fair, market, <classifier for games, performances etc.>",,,場,
207,场,cháng,chang,"<classifier for happenings>",,,,
208,师,shī,shi,"(=老师 lǎoshī) teacher; 师傅 shīfu master",,,師,
209,书,shū,shu,"book, style of calligraphy; 书记 shūji clerk; 图书馆 túshūguǎn library",,,書,
210,比,bǐ,bi,"compare, contrast; 比较 bǐjiào relatively; 比如 bǐrú efor example",,,,
211,住,zhù,zhu,"live (in a place)",,,,
212,员,yuán,yuan,"member. ~ist, ~er; 委员会 wěiyuánhuì committee; 人员 rényuán personnel",,,員,
213,九,jiǔ,jiu,"nine; 九月 jiǔyuè September",玖,,,
214,笑,xiào,xiao,laugh,,,,
215,性,xìng,xing,"sex, gender, nature, disposission, ~ness; 可能性 kěnéngxìng possibility",,,,
216,通,tōng,tong,"communicate, notify, connect, join, know very well, authority, expert, (=通过 tōngguò) go through, <classifier for telegrams>, <family name>; 交通 jiāotōng traffic; 普通话 Pǔtōnghù Common Speach = Mandarin",,,,
216,通,tòng,tong,"<classifier for actions>",,,,
217,目,mù,mu,"eye; 目前 mùqián in front of ones eyes, at present; 目的 mùdì goal, purpose, aim; 目录 mùlù catalogue, list, list of contents",,,,
218,华,huá,hua,"glory, splendor, magnificent, (=中华 Zhōnghuá) China",,,華,
218,华,Huà,Hua,"<family name>; 华山 Huà Shān (mountain in Shaanxi)",,,,
219,报,bào,bao,"(=报告 bàogào) report, (=报纸 bàozhǐ) newspaper, (=电报 diànbào) telegram",,,報,
220,立,lì,li,"stand, erect, vertical; 建立 jiànlì establish; 立刻 lìkè right away; 立方体 lìfāngtǐ cube",,,,
221,马,mǎ,ma,"horse; 马上 mǎshàng right away 马马虎虎 mǎmahūhū careless, casual",,,馬,
222,命,mìng,ming,"(=生命 shēngmìng) life, fate, destiny; 命令 mìnglìng command; 革命 gémìng revolution",,,,
223,张,zhāng,zhang,"spread, sheet of paper, <classifier for surfaces, tables, postcards, etc.>; 紧张 jǐnzhāng tense, nervous",,,張,
224,活,huó,huo,"live, alive, living, vivid, save someone's life; 生活 shēnghuó life; 活动 huódòng activity",,,,
225,难,nán,nan,difficult,,,難,
225,难,nàn,nan,disaster,,,,
226,神,shén,shen,"spirit, god; 精神 jīngshén spirit, mind, consciousness, essence",,,,
227,数,shù,shu,"number, number, figure, fate, plan; 数学 shùxué math",,,數,
227,数,shǔ,shu,"count, enumerate, list",,,,
227,数,shuò,shuo,"frequently, repeatedly",,,,
228,件,jiàn,jian,"item, correspondence, document, <classifier for articles and items>; 条件 tiáojiàn term, condition",,,,
229,安,ān,an,"still, quiet; 安全 ānquán safe, secure; 安排 ānpái arrange, plan, fix up",,,,
230,表,biǎo,biao,"show, list, table, form, meter, (F錶) (wrist-)watch",,,,
231,原,yuán,yuan,"originally, simple, <family name>; 原来 yuánlái original, formerly, as a matter of fact; 原因 yuányīn cause, reason",,,,
232,车,chē,che,"car, vehicle with wheels, <family name>",,,車,
232,车,jū,ju,"(a piece in Chinese chess)",,,,
233,白,bái,bai,"white; 明白 míngbai understand, realize, clear, obvious; 白天 báitiān daytime; 白菜 báicài cabbage",,,,
233,白,bó,bo,"李白 Lǐ Bó = Lǐ Bái",,,,
234,应,yīng,ying,"promise, answer, respond, <family name>, (=应该 yīnggāi) should, ought to",,,應,
234,应,yìng,ying,"应用 yìngyòng apply",,,,
235,路,lù,lu,"path, way, journey, distance, means, sequence, logic, sort, grade, class, <family name>, (=道路 dàolù) road",,,,
236,期,qī,qi,"phase, stage, <classifier for issues of periodicals>, (=时期 shíqī) time period; 班期 bānqī schedule, time table; 星期 xīngqī week; 长期 chángqī long term",,,,
236,期,jī,ji,anniversary,,,,
237,叫,jiào,jiao,"cry out, call; 叫做 jiàozuò be called, be known as",,,,
238,死,sǐ,si,"die, death",,,,
239,常,cháng,chang,"often, constant, ordinary, <family name>; 非常 fēicháng extremely",,,,
240,提,tí,ti,"lift, raise, pick up, carry; 提高 tígāo improve; 提供 tígōng provide",,,,
240,提,dī,di,"提防 dīfang take precautions or be on guard against",,,,
241,感,gǎn,gan,"(=感觉 gǎnjué) feel, (=感情 gǎnqíng) emotion",,,,
242,金,jīn,jin,"(=金子 jīnzi) gold, (=金属 jīnshǔ) metals in general",,,,
243,何,hé,he,"what?, where?, how?, <family name>; 任何 rènhé any; 如何 rúhé how?; 几何 jǐhé geometry",,,,
244,更,gèng,geng,"more, still/even more, furthermore",,,,
244,更,gēng,geng,"replace, transform, night watch; (=更改 gēnggǎi) change, alter",,,,
245,反,fǎn,fan,"turn over, return, revolt, (=反对 fǎnduì) oppose, combat; 反映 fǎnyìng reflect",,,,
245,反,bǎn,ban,"反反 bǎnbǎn proper, fitting",,,,
246,合,hé,he,"close, shut, accord with, conform to, be equal to, together, jointly, <classifier for rounds>, (=结合 jiéhé) combine; 合作 hézuò cooperate",,,,
246,合,gě,ge,decilitre,,,,
247,放,fàng,fang,"put, release, set free, give out, expand, blossom, bloom, lend (money) at interest; 解放 jiěfàng liberate, emancipate",,,,
248,做,zuò,zuo,"do, act, make, produce, write, compose, <slang> to have sex; 叫做 jiàozuò be called, be known as; 做法 zuòfǎ method, way of doing",,,,
249,系,xì,xi,"series, department, faculty, (=系统 xìtǒng) system, (F係) (=联系 liánxì) integrate, relate to; 关系 guānxi concern, affect, matter, (F繫) tie, fasten, feel anxious, be concerned",,,,
249,系,jì,ji,"(F繫) tie, bind",,,,
250,计,jì,ji,"(=计算 jìsuàn) count, calculate, plot, plan, <family name>; 统计 tǒngjì statistics",,,計,
251,或,huò,huo,"(=或者 huòzhě) or, (=或许 huòxǔ) perhaps, mayby, (=可能 kěnéng) probably",,,,
252,司,sī,si,"公司 gōngsī company, corporation; 司令 sīlìng commander",,,,
253,利,lì,li,"(=利益 lìyì) interest, benefit, profit, <family name>; 利用 lìyòng utilize; 胜利 shènglì triumph; 意大利 Yìdàlì Italy",,,,
254,受,shòu,shou,"receive, endure, (=接受 jiēshòu) accept; 难受 nánshòu unhappy",,,,
255,光,guāng,guang,"light, merely; 阳光 yángguāng sunlight; 光荣 guāngróng glory",,,,
256,王,wáng,wang,"king; 王国 wángguó kingdom, realm, domain",,,,
256,王,wàng,wang,"(rare) rule",,,,
257,果,guǒ,guo,"fruit, surely, truly, as expected, (=结果 jiéguǒ) result, consequence, outcome; 如果 rúguǒ if",,,,
258,亲,qīn,qin,"close relative, kiss; 母亲 mùqin mother; 父亲 fùqin father; 亲自qīnzì in person",,,親,
258,亲,qìng,qing,"亲家 qìngjia relatives by marriage",,,,
259,界,jiè,jie,"(=界限 jièxiàn) boundary, limit; 世界 shìjiè world",,,,
259,界,gā,ga,"不搭界 bù dāgā have no relation, have nothing to do with",,,,
259,界,gà,ga,"半间不界 bàn'gānbùgà neither this nor that, inexplicit, equivocal, mediocre",,,,
260,及,jí,ji,"reach, come up to, and, in, on, to; 以及 yǐjí as well as; 及时 jíshí promptly",,,,
261,今,jīn,jin,"now, this; 今天 jīntiān today",,,,
262,京,jīng,jing,"capital city, (=北京 Běijīng) short for Beijing; 南京 Nánjīng; 东京 Dōngjīng Tokyo (or other eastern capital in previous dynasties!)",,,,
263,务,wù,wu,"affair, business; 任务 rènwu assignment, task; 服务 fúwù service, serve",,,務,
264,制,zhì,zhi,"work out, (=制度 zhìdù) system, institution, (=控制 kòngzhì) control, dominate, (F製) (=制造 zhìzào) manufacture",,,,
265,解,jiě,jie,"separate, explain, untie, undo, take off, dissolve, <mathematic> solution",,,,
265,解,Xiè,Xie,"<family name>",,,,
265,解,jiè,jie,"解送 jièsòng send under guard",,,,
266,各,gè,ge,"each, every, different, separately; 各有千秋 gèyǒuqiānqiū each has his merits",,,,
266,各,gě,ge,"自各 zìgě oneself, by oneself",,,,
267,任,rèn,ren,"appoint, no matter, serve a position, allow, trust, official post, <classifier for terms of office>; 任务 rènwu task; 任何 rènhé any",,,,
267,任,Rén,Ren,"<family name>",,,,
268,至,zhì,zhi,"to, until, extremely, most, arrive, reach; 甚至 shènzhì even (to the point of), so much so that; 至少 zhìshǎo at least",,,,
269,清,qīng,qing,"(=清楚 qīngchu) clear; 清洁 qīngjié clean",,,,
270,物,wù,wu,"thing, matter; 动物 dòngwù animal; 植物 zhíwù plant; 物理 wùlǐ physics",,,,
271,台,tái,tai,"<polite> you, (F臺) platform, <classifier for performances, engines, computers, TV-sets, etc.>, (=台湾 Táiwān) short for Taiwan, (F檯) desk, table, (F颱) 台风 táifēng typhoon",,,,
271,台,tāi,tai,"天台 Tiāntāi (in eastern Zhejiang)",,,,
272,象,xiàng,xiang,"appearance, likeness, (=大象 dàxiàng) elephant",,,,
273,记,jì,ji,"(=记得 jìde) remember, (=记录 jìlù) record",,,記,
274,边,biān,bian,"on the side of something, margin, limit, <family name>, (=旁边 pángbiān) side; 这边 zhèbiān over here",,,邊,
275,共,gòng,gong,"share; 一共 yígòng in all; 共产 gòngchǎn communist; 公共 gōnggòng public; 共和 gònghé republic",,,,
276,风,fēng,feng,wind,,,風,
277,战,zhàn,zhan,"(=战争 zhànzhēng) war",,,戰,
278,干,gān,gan,"stem; 干涉 gānshè interfere, intervene, (F乾) dry",,,,
278,干,gàn,gan,"(F幹) do",,,,
279,接,jiē,jie,"connect, (=接受 jiēshòu) accept; 接着 jiēzhe catch, next; 直接 zhíjiē direct",,,,
280,它,tā,ta,"it, its",,,,
281,许,xǔ,xu,"allow, somewhat, <family name>, (=也许 yěxǔ) perhaps; 许多 xǔduō a lot",,,許,
281,许,hǔ,hu,"邪许 yéhǔ yell in unison, yo-ho-ho",,,,
282,八,bā,ba,"eight; 八月 Bāyuè August",捌,,,
283,特,tè,te,"(=特别 tèbié) special, particular; 特点 tèdiǎn characteristic",,,,
284,觉,jué,jue,perceive,,,覺,
284,觉,jiào,jiao,"(=睡觉 shuìjiào) sleep; 午觉 wǔjiào siesta, afternoon nap",,,,
285,望,wàng,wang,"look, full moon; 希望 xīwàng hope, wish",,,,
286,直,zhí,zhi,"straight, directly",,,,
287,服,fú,fu,"(=服务 fúwù) serve, (=衣服 yīfu) clothes",,,,
287,服,fù,fu,dose,,,,
288,毛,máo,mao,hair,,,,
289,林,lín,lin,"(=森林 sēnlín) forest, <family name>; 桂林 Guìlín (city in Guangxi)",,,,
290,题,tí,ti,"topic, problem, inscribe; 问题 wèntí question, problem; 题目 tímù title",,,題,
291,建,jiàn,jian,"construct, establish; 建议 jiànyì suggest",,,,
292,南,nán,nan,"south; 西南 xīnán southwest",,,,
292,南,nā,na,"南无 nāmó 〈Sanskrit〉 to give oneself totally to",,,,
293,度,dù,du,"degree, extent, unit (kWh, angle, temperature, etc.), <classifier for units of measurement, occasions, times, etc.>; 制度 zhìdù system, institution",,,,
293,度,duó,duo,"猜度 cāiduó surmise",,,,
294,统,tǒng,tong,"order, unite, (=系统 xìtǒng) system; 统治 tǒngzhì rule, dominate; 统一 tǒngyī together, unify, unite, integrate",,,統,
295,色,sè,se,"(=颜色 yánsè) colour; 脸色 liǎnsè complexion, look, facial expression",,,,
295,色,shǎi,shai,colour,,,,
296,字,zì,zi,"written character; 汉字 Hànzì Chinese character; 名字 míngzi name; 体字 tǐzì style of written Chinese, typface, font",,,,
297,请,qǐng,qing,"please, request, invite; 请求 qǐngqiú ask, request",,,請,
298,交,jiāo,jiao,"join; 交通 jiāotōng traffic; 交换 jiāohuàn exchange",,,,
299,爱,ài,ai,"(=爱情 àiqíng) love; 爱人 àirén spouse, lover",,,愛,
300,让,ràng,rang,"let, allow",,,讓,
301,认,rèn,ren,"(=认为 rènwéi) consider, (=认识 rènshi) recognize",,,認,
302,算,suàn,suan,"(=计算 jìsuàn) count, calculate, compute; 算了 suànle forget it, never mind",,,,
303,论,lùn,lun,theory,,,論,
303,论,Lún,Lun,"论语 Lúnyǔ The Confucian Analects",,,,
304,百,bǎi,bai,hundred,,,佰,
304,百,bò,bo,"抄总 chāobòzǒng express/cover everything",,,,
305,吃,chī,chi,eat,,,,
305,吃,qī,qi,"吃吃 qīqī <the sound of giggling>",,,,
306,义,yì,yi,"justice, (=意义 yìyì) meaning; 主义 zhǔyì ~ism",,,義,
307,科,kē,ke,"department; 科学 kēxué science; 外科 wàikē surgery",,,,
308,怎,zěn,zen,"(=怎么 zěnme) how?",,,,
309,元,yuán,yuan,"first, primary, dollar",,,,
310,社,shè,she,"club, organized body, (=社会 shèhuì) society",,,,
311,术,shù,shu,"skill, (=艺术 yìshù) art; 技术 jìshù technique",,,術,
311,术,zhú,zhu,"术酒 zhújiǔ medicinal wine",,,,
312,结,jié,jie,"tie; 结果 jiéguǒ result; 结婚 jiéhūn marry",,,結,
312,结,jiē,jie,"bear fruit",,,,
313,六,liù,liu,"six; 六月 liùyuè June",陆,陸,,
314,功,gōng,gong,"achievement; 成功 chénggōng succeed; 功夫 gōngfu time (duration), time (when), skill, art, work",,,,
315,指,zhǐ,zhi,"point, (=指头 zhǐtou) finger, toe; 指甲 zhǐjia finger nail",,,,
316,思,sī,si,"(=思想 sīxiǎng) thought",,,,
316,思,si,si,"意思 yìsi meaning",,,,
316,思,sāi,sai,"于思 yúsāi richly bearded",,,,
317,非,fēi,fei,"not, non-; 非常 fēicháng unusually, extraordinary, special, very, extremely",,,,
318,流,liú,liu,"to flow, stream; 电流 diànliú electric current; 交流 jiāoliú to exchange, alternate",,,,
319,每,měi,mei,"every, each; 每天 měitiān every day",,,,
320,青,qīng,qing,"nature's colour blue/green/black...; 青年 qīngnián youth; 青蛙 qīngwā frog",,,,
321,管,guǎn,guan,"tube, (=管理 guǎnlǐ) manage, supervise; 不管 bùguǎn no matter, regardless of",,,,
322,夫,fū,fu,"man, (=丈夫 zhàngfu) husband; 工夫 gōngfu time, duration, skill; 大夫 dàifu doctor",,,,
322,夫,fú,fu,"(formal) this/that (person)",,,,
323,连,lián,lian,"connect, including; 连忙 liánmáng right away; 连续 liánxù continuous",,,連,
324,远,yuǎn,yuan,far,,,遠,
325,资,zī,zi,"money, expenses; 资本主义 zīběnzhǔyì capitalism; 投资 tóuzī invest",,,資,
326,队,duì,dui,"team, (=部队 bùduì) army, (=队伍 duìwǔ) troops",,,隊,
327,跟,gēn,gen,"heel, follow, with, and",,,,
328,带,dài,dai,"belt, zone, carry, bring, take",,,帶,
329,花,huā,hua,"flower, spend; 花生 huāshēng peanut",,,,
330,快,kuài,kuai,"fast, sharp, (=快乐 kuàilè, =愉快 yúkuài) happy",,,,
331,条,tiáo,tiao,"twig, strip, item, <classifier for dogs, snakes, dragons, etc.>; 条件 tiáojiàn condition, term",,,條,
332,院,yuàn,yuan,"courtyard; 学院 xuéyuàn college; 医院 yīyuàn hospital; 法院 fǎyuàn court",,,,
333,变,biàn,bian,"change; 变成 biànchéng become; 变化 biànhuà variation; 改变 gǎibiàn alter",,,變,
334,联,lián,lian,"unite, join; 联系 liánxì integrate, relate, link, get in touch with",,,聯,
335,言,yán,yan,"words; 语言 yǔyán language, speech, word",,,,
336,权,quán,quan,"right, power",,,權,
337,往,wǎng,wang,"to, toward; 往往 wǎngwǎng often",,,,
338,展,zhǎn,zhan,"expand, spread out, <family name>; 发展 fāzhǎn develop, expand, grow; 展览 zhǎnlǎn exhibit, show, display",,,,
339,该,gāi,gai,"(=应该 yīnggāi) should",,,該,
340,领,lǐng,ling,"to lead, collar; 领导 lǐngdǎo, 领袖 lǐngxiù leader; 本领 běnlǐng ability",,,領,
341,传,chuán,chuan,"pass, pass on; 传统 chuántǒng tradition",,,傳,
341,传,zhuàn,zhuan,"Confucian classic",,,,
342,近,jìn,jin,"near; 附近 fùjìn vicinity; 最近 zuìjìn recently, lately, soon",,,,
343,留,liú,liu,"remain, stay, (=保留 bǎoliú) keep, reserve; 留学 liúxé to study abroad; 遗留 yíliú hand down; 拘留 jūliú arrest",,,,
344,红,hóng,hong,"(=红色 hóngsè) red; 东方红 Dōngfānghóng The East is Red",,,紅,
344,红,gōng,gong,"女红 nǚgōng needlework",,,,
345,治,zhì,zhi,"govern, cure, punish; 政治 zhèngzhì government",,,,
346,决,jué,jue,"解决 jiějué solve, resolve, settle; 决定 juédìng decide, resolve, make up one's mind",,,決,
347,周,zhōu,zhou,"circuit, circumference, cycle, week; 周围 zhōuwéi vicinity, surroundings, entirely; 周身 zhōushēn whole vody",,,,
348,保,bǎo,bao,"(=保护 bǎohù) protect; 保证 bǎozhèng ensure, guarantee",,,,
349,达,dá,da,"reach, arrive",,,達,
349,达,dā,da,"<referring to sounds of clocks or footsteps>",,,,
349,达,tà,ta,"挑达 tāotà walk casually to and fro",,,,
350,办,bàn,ban,"do; 办法 bànfǎ method; 办公室 bàngōngshì office",,,辦,
351,运,yùn,yun,"carry, transport, (运气 yùnqi) fortune, luck; 运动 yùndòng move, turn around, sports",,,運,
352,武,wǔ,wu,"military; 武器 wǔqì weapon; 武术 wǔshù martial arts",,,,
353,半,bàn,ban,"half, semi~",,,,
354,候,hòu,hou,"(=时候 shíhou) time, wait, situation",,,,
355,七,qī,qi,"seven; 七月 qīyuè July",柒,,,
356,必,bì,bi,"(=必须 bìxū) must; 不必 búbì needn't",,,,
357,城,chéng,cheng,"(=城市 chéngshì) city, wall; 长城 chángchéng Great Wall",,,,
